时间,open,high,low,close,vol,MA.MA1,MA.MA2,MA.MA3,MA.MA4,VOL-TDX.VVOL,VOL-TDX.,VOL-TDX.VOLUME,VOL-TDX.MAVOL1,VOL-TDX.MAVOL2,MACD.DIF,MACD.DEA,MACD.MACD  
2014-12-31,10.84,15.79,10.84,15.79,1768,           ,           ,           ,           ,           ,0,1768,           ,           ,0,0,0
2015-01-09,17.38,20.9,17.38,18.67,491485,           ,           ,           ,           ,           ,0,491485,           ,           ,0.23,0.05,0.37
2015-01-16,17.93,21.75,16.81,21.03,577989,           ,           ,           ,           ,           ,0,577989,           ,           ,0.6,0.16,0.88
2015-01-23,20.4,24.72,19.48,23.5,499586,           ,           ,           ,           ,           ,0,499586,           ,           ,1.07,0.34,1.47
2015-01-30,23.51,23.9,22.56,22.77,194087,20.35,           ,           ,           ,           ,0,194087,352983,           ,1.38,0.55,1.66
2015-02-06,22.44,25.39,21.62,21.92,198698,21.58,           ,           ,           ,           ,0,198698,392369,           ,1.53,0.74,1.57
2015-02-13,21.66,24.14,21.06,23.48,89044,22.54,           ,           ,           ,           ,0,89044,311880.81,           ,1.76,0.95,1.62
2015-02-17,23.5,27.34,23.32,26.77,84985,23.69,           ,           ,           ,           ,0,84985,213280,           ,2.18,1.19,1.97
2015-02-27,26.44,28.87,26.44,28.24,96903,24.64,           ,           ,           ,           ,0,96903,132743.41,           ,2.6,1.47,2.25
2015-03-06,29.7,31.03,26.4,26.69,187942,25.42,22.89,           ,           ,           ,0,187942,131514.41,242248.7,2.78,1.73,2.09
2015-03-13,26.46,28,25.85,27.46,88867,26.53,24.05,           ,           ,           ,0,88867,109548.2,250958.59,2.95,1.98,1.94
2015-03-20,27.66,29.65,27.4,29.12,113767,27.66,25.1,           ,           ,           ,0,113767,114492.8,213186.8,3.18,2.22,1.92
2015-03-27,29.15,29.45,27.41,28.83,118361,28.07,25.88,           ,           ,           ,0,118361,121168,167224,3.3,2.43,1.73
2015-04-03,29.22,31.85,29.2,31.35,134758,28.69,26.66,           ,           ,           ,0,134758,128739,130741.2,3.56,2.66,1.8
2015-04-10,31.4,36.4,31.38,36.15,94651,30.58,28,           ,           ,           ,0,94651,110080.8,120797.6,4.1,2.95,2.31
2015-04-17,35.89,38.23,31.35,34.18,91881,31.93,29.23,           ,           ,           ,0,91881,110683.6,110115.9,4.33,3.22,2.21
2015-04-24,33.66,36.7,31.5,34.96,102426,33.09,30.38,           ,           ,           ,0,102426,108415.4,111454.1,4.51,3.48,2.07
2015-04-30,34.16,36.17,33.15,34.91,56206,34.31,31.19,           ,           ,           ,0,56206,95984.4,108576.2,4.61,3.71,1.8
2015-05-08,35.36,41.65,34.17,39.12,76361,35.86,32.28,           ,           ,           ,0,76361,84305,106522,4.96,3.96,2.01
2015-05-15,39.12,44.17,39,41.18,67578,36.87,33.73,28.31,           ,           ,0,67578,78890.4,94485.6,5.35,4.23,2.22
2015-05-21,41.18,46.14,41.18,45.86,71976,39.21,35.57,29.81,           ,           ,0,71976,74909.4,92796.5,5.96,4.58,2.76
2015-06-05,50.46,61.69,43.82,56.04,146633,43.42,38.26,31.68,           ,           ,0,146633,83750.8,96083.1,7.19,5.1,4.17
