date,open,high,low,close,vol,turn
2013/03/04,6.59,6.76,6.43,6.54,1987422,36744556.00
2013/03/05,6.54,6.76,6.48,6.76,1672269,31158286.00
2013/03/06,6.76,6.91,6.70,6.83,2130974,40424560.00
2013/03/07,6.85,6.92,6.60,6.66,1271036,23971318.00
2013/03/08,6.67,6.72,6.51,6.65,1101005,20306134.00
2013/03/11,6.65,6.68,6.55,6.63,541680,10016103.00
2013/03/12,6.64,6.65,6.12,6.21,1723790,30526208.00
2013/03/13,6.21,6.24,6.02,6.08,667995,11446373.00
2013/03/14,6.08,6.15,6.03,6.08,499907,8529469.00
2013/03/15,6.10,6.19,5.89,6.11,879848,15073908.00
2013/03/18,6.08,6.27,6.05,6.22,987752,17115978.00
2013/03/19,6.13,6.14,5.95,6.07,1009037,17173910.00
2013/03/20,6.07,6.24,6.05,6.23,1123871,19506000.00
2013/03/21,6.23,6.35,6.21,6.26,914339,16105668.00
2013/03/22,6.26,6.31,6.20,6.26,734388,12886506.00
2013/03/25,6.28,6.28,6.23,6.26,507558,8904287.00
2013/03/26,6.25,6.25,6.05,6.17,525092,9059317.00
2013/03/27,6.18,6.23,6.12,6.16,368641,6388982.00
2013/03/28,6.12,6.13,5.96,5.96,711527,12028985.00
2013/03/29,5.96,6.03,5.92,5.99,309629,5209304.50
2013/04/01,5.90,6.08,5.89,6.06,282383,4796910.00
2013/04/02,6.16,6.18,5.97,6.00,399024,6830957.00
2013/04/03,6.10,6.10,5.97,6.01,272922,4599830.00
2013/04/08,5.97,5.99,5.86,5.96,385036,6419169.00
2013/04/09,5.99,6.01,5.89,5.96,523230,8773878.00
2013/04/10,5.93,5.96,5.71,5.80,657380,10761246.00
2013/04/11,5.83,5.84,5.73,5.73,356100,5792295.00
2013/04/12,5.74,5.80,5.66,5.75,232089,3774504.25
2013/04/15,5.76,5.80,5.66,5.67,246661,3970964.00
2013/04/16,5.67,5.75,5.62,5.72,291859,4682656.00
2013/04/17,5.71,5.83,5.68,5.82,343685,5582832.00
2013/04/18,5.81,5.88,5.80,5.85,319440,5257586.50
