date,open,high,low,close,vol,turn
2014/12/29,10.84,13.03,10.84,13.03,75100,1957391.00
2014/12/30,14.34,14.34,14.34,14.34,32500,938600.00
2014/12/31,15.79,15.79,15.79,15.79,69200,2198484.00
2015/01/05,17.38,17.38,17.38,17.38,135200,4725240.00
2015/01/06,19.13,19.13,19.13,19.13,1364399,52461144.00
2015/01/07,19.91,20.90,19.51,20.38,23761691,964246336.00
2015/01/08,19.80,20.27,19.16,19.74,12579751,497852544.00
2015/01/09,19.96,20.39,18.65,18.67,11307763,440938592.00
2015/01/12,17.93,17.95,16.81,17.00,9526727,333062688.00
2015/01/13,16.96,17.49,16.81,17.28,6068077,210575472.00
2015/01/14,17.53,19.02,17.53,19.02,13655482,511634464.00
2015/01/15,19.50,20.93,19.45,19.92,16107111,655605504.00
2015/01/16,19.62,21.75,19.61,21.03,12441759,512317856.00
2015/01/19,20.40,21.84,19.48,19.87,11174099,463593792.00
2015/01/20,20.65,21.87,20.31,21.87,7508372,322914336.00
2015/01/21,22.86,24.06,22.15,22.47,13172447,607859200.00
2015/01/22,23.10,24.72,22.40,24.72,10508880,501011392.00
2015/01/23,23.84,24.19,23.01,23.50,7595113,359222688.00
2015/01/26,23.51,23.90,23.15,23.55,4471917,210863584.00
2015/01/27,23.55,23.55,22.56,23.19,4519454,208513376.00
2015/01/28,22.90,23.88,22.85,23.19,4577684,215200544.00
2015/01/29,22.90,23.56,22.65,23.29,3018068,140525456.00
2015/01/30,23.35,23.46,22.72,22.77,2821871,130562208.00
2015/02/02,22.44,23.40,21.85,23.34,3908205,176369792.00
2015/02/03,23.08,25.00,23.08,24.29,5264092,257392400.00
2015/02/04,23.90,25.39,23.68,24.00,4862243,238612064.00
2015/02/05,23.87,24.00,22.70,22.75,3279993,153444816.00
2015/02/06,22.75,22.76,21.62,21.92,2555567,113240552.00
2015/02/09,21.66,21.88,21.06,21.27,1633823,70375592.00
2015/02/10,21.27,21.84,21.09,21.77,1424820,61418008.00
2015/02/11,21.80,22.75,21.62,22.20,1541785,69191144.00
2015/02/12,22.10,22.70,21.99,22.38,1429378,63992196.00
2015/02/13,22.53,24.14,22.40,23.48,2874838,135722512.00
2015/02/16,23.50,25.84,23.32,25.84,4409485,223450912.00
2015/02/17,26.66,27.34,26.09,26.77,4089189,219022784.00
2015/02/25,26.44,28.58,26.44,27.52,3802797,212437744.00
2015/02/26,27.15,28.74,26.70,28.55,3938651,222891152.00
2015/02/27,28.53,28.87,27.47,28.24,1949096,109913680.00
2015/03/02,29.70,31.03,28.85,29.40,4538117,271644224.00
2015/03/03,28.98,30.19,27.91,28.66,3320626,193605280.00
2015/03/04,28.45,28.65,27.05,27.96,4433800,246063264.00
2015/03/05,27.90,28.14,26.69,27.43,3727391,203534320.00
2015/03/06,27.25,28.08,26.40,26.69,2774486,151764640.00
2015/03/09,26.46,28.00,25.85,27.97,2658042,144663392.00
2015/03/10,27.64,27.65,26.70,27.57,1703304,93073104.00
2015/03/11,27.25,27.40,26.90,27.26,1426880,77753376.00
2015/03/12,27.20,27.50,26.50,26.95,1400044,75511336.00
2015/03/13,27.19,28.00,27.18,27.46,1698647,94131576.00
2015/03/16,27.66,28.80,27.40,28.60,2224200,126346848.00
2015/03/17,29.40,29.45,28.30,28.88,2172400,125530856.00
2015/03/18,28.88,28.90,28.21,28.55,2336600,133366912.00
2015/03/19,28.55,28.70,27.90,28.13,1743066,99051800.00
2015/03/20,28.27,29.65,28.11,29.12,2900550,168606048.00
2015/03/23,29.15,29.45,28.50,28.92,2735723,157813328.00
2015/03/24,28.90,28.90,27.51,28.20,2445274,138831008.00
2015/03/25,28.10,28.97,27.41,28.80,3063990,173509104.00
2015/03/26,28.21,28.74,27.92,27.99,1798767,101867024.00
2015/03/27,28.15,29.19,27.80,28.83,1792686,102849480.00
2015/03/30,29.22,30.90,29.22,29.67,3117993,187777264.00
2015/03/31,29.20,30.65,29.20,30.33,1930796,116085000.00
2015/04/01,30.40,31.75,30.40,30.72,2397919,149653760.00
2015/04/02,30.68,31.30,29.40,31.13,3227658,198843024.00
2015/04/03,31.13,31.85,30.71,31.35,2801760,176298480.00
2015/04/07,31.40,34.40,31.38,33.55,2760483,182774704.00
2015/04/08,34.88,36.15,34.65,34.94,2737165,194257552.00
2015/04/09,34.68,36.39,32.40,35.96,2244584,154847344.00
2015/04/10,35.25,36.40,34.16,36.15,1723151,124022240.00
2015/04/13,35.89,38.23,35.89,36.26,1837500,135540720.00
2015/04/14,36.23,36.40,34.41,34.62,2384007,168735152.00
2015/04/15,34.50,34.75,31.96,32.89,1734799,115691864.00
2015/04/16,31.90,34.73,31.35,34.65,1993726,134112728.00
2015/04/17,34.68,35.90,34.10,34.18,1238238,86587240.00
2015/04/20,33.66,33.99,31.75,31.78,2513937,164186096.00
2015/04/21,31.75,33.25,31.50,32.85,1734337,112930672.00
2015/04/22,32.84,36.10,32.84,35.71,2411667,167085888.00
2015/04/23,35.75,36.70,34.36,36.10,2289824,161034640.00
2015/04/24,34.90,36.50,34.90,34.96,1293026,91872976.00
2015/04/27,34.16,35.90,33.73,35.05,2207973,153384784.00
2015/04/28,34.91,34.91,33.15,33.34,1013762,68914472.00
2015/04/29,33.65,35.04,33.60,34.85,1056453,73425408.00
2015/04/30,35.39,36.17,34.44,34.91,1342690,95078512.00
2015/05/04,35.36,38.15,34.17,36.96,1939233,142378640.00
2015/05/05,36.55,38.81,36.49,38.36,1515074,114011280.00
2015/05/06,38.35,41.65,37.67,39.15,2080792,166285888.00
2015/05/07,39.15,39.84,37.41,37.71,1384196,106015616.00
2015/05/08,37.45,39.31,37.45,39.12,717141,55387396.00
2015/05/11,39.12,41.55,39.00,41.05,1420289,115401528.00
2015/05/12,41.15,44.17,40.40,43.39,2045609,170464784.00
2015/05/13,42.40,43.90,41.43,43.00,1107148,95895584.00
2015/05/14,42.98,44.14,42.13,43.24,900986,78025480.00
2015/05/15,42.90,43.40,40.46,41.18,1284080,107341360.00
2015/05/18,41.18,45.20,41.18,44.40,2233247,196653232.00
2015/05/19,46.14,46.14,43.92,44.80,1563975,140308992.00
2015/05/20,44.85,45.60,43.49,44.69,1863525,166671136.00
2015/05/21,43.90,45.90,43.90,45.86,1537060,138414672.00
2015/06/02,50.46,50.46,46.46,48.70,3735990,371414016.00
2015/06/03,43.82,52.34,43.82,52.21,4685262,448468480.00
2015/06/04,53.04,57.44,51.40,57.44,3379065,376448832.00
2015/06/05,58.90,61.69,55.46,56.04,2863276,340774464.00
2015/06/08,54.50,55.40,50.42,50.42,2647889,273056576.00
2015/06/09,50.42,52.05,47.42,48.09,2115779,208604224.00
2015/06/10,49.40,52.30,48.55,50.84,1481385,150480944.00
2015/06/11,50.30,51.85,48.96,50.40,1386145,140516368.00
2015/06/12,50.90,53.74,50.41,51.18,1710807,178578272.00
2015/06/15,50.90,51.05,47.40,49.27,1745329,170911792.00
2015/06/16,48.02,48.40,44.80,46.31,1907348,177844864.00
2015/06/17,46.40,47.04,44.40,46.53,1275712,117243096.00
2015/06/18,47.45,48.90,44.98,45.71,1282669,122907584.00
2015/06/19,44.41,45.15,42.15,43.64,1307808,115149312.00
2015/06/23,43.91,47.40,41.65,47.20,1120854,99029944.00
2015/06/24,46.90,49.83,46.43,48.28,1415638,136019152.00
